"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Noct",-4.33514423857074,4.21351924733612,-13.9723292862284,0.0000000426863457816446,0.00000167513761468533,9.29155031248347
"Sik2",-2.90658410743966,5.49963354446609,-13.9590249468513,0.0000000430933111981985,0.00000168251815401573,9.27872100815219
"Ap2a2",-2.62455165127949,6.33015259635129,-13.9640476334418,0.0000000429391773585869,0.00000168189206353052,9.2444564515997
"Oasl2",-4.05825412874476,4.77788764835992,-13.9570276905489,0.0000000431547697139198,0.00000168251815401573,9.2414384502381
"Nipal3",-2.93645554774781,5.75743036597451,-13.9131993299332,0.000000044527796317085,0.00000172787750401381,9.23664812979314
"Dnttip1",-3.92809327751938,5.10761689661154,-13.8841526296775,0.0000000454639779545189,0.00000176057643981343,9.23546516336915
"Ppp2r5b",-5.62763162547162,3.40753173500195,-14.2603172979435,0.0000000348296931633334,0.00000140383200413451,9.22351518877254
"Acp1",-2.27218950117321,6.75461710908452,-14.0061345100151,0.0000000416710200390219,0.00000164147583284147,9.22038972836918
"Zdhhc14",-5.14856774135393,3.17043384137632,-14.0339208544976,0.0000000408561890589299,0.00000161855754298476,9.19186873431111
"Foxo4",-3.75660432081042,5.04220223519932,-13.8092260015842,0.0000000479795164918741,0.00000184778876480095,9.18676218677194
"Tbxas1",-3.29072005768131,5.59865787185943,-13.8068622728462,0.0000000480613067723445,0.00000184778876480095,9.18242862062783
"Ppm1d",-3.72240332397673,4.96355952333627,-13.7868340932077,0.0000000487604626114806,0.0000018712164270682,9.17084987356794
"Atg14",-3.86923101846535,4.28612132170361,-13.7633937341693,0.000000049592857184332,0.00000189966168751307,9.1174791824419
"Vps13d",-2.04741242626208,7.57190767989026,-13.9556444541723,0.0000000431973899797685,0.00000168251815401573,9.11321384577306
"Cpeb3",-8.41848516381037,2.66183839077569,-15.6427931848881,0.0000000137832935633249,0.000000625743510397744,9.09090463907928
"Dnase2a",-3.3263350107599,5.31833349980116,-13.679254858271,0.000000052710862511145,0.00000200070847542302,9.0781715967524
"Inhca",-9.17936882394692,2.31916382724641,-14.6616929043078,0.0000000263937804641791,0.00000109125713752493,9.07371142161543
"Rmnd5a",-2.07830306022222,7.42604839998727,-13.8818399814612,0.0000000455394328179019,0.00000176057643981343,9.06816922010587
"Blvrb",-3.53356731836208,5.00201391710442,-13.6818629867094,0.0000000526110610066338,0.00000200056439645299,9.06691257466074
"Mocs1",-3.89521752261309,4.34326238039235,-13.6180878014685,0.0000000551116869274898,0.00000207670403651905,9.03747078780169
"Pcx",-5.46453100331906,2.84602350729311,-14.0933055682161,0.0000000391724080392725,0.00000156075456734677,9.01756420176318
"Stk17b",-2.92797084058351,7.09227983769855,-13.7050320659313,0.0000000517334775033935,0.00000197439964142072,9.00822874873922
"Arhgap23",-3.28095181859393,4.83820849123222,-13.536465352386,0.000000058503059819045,0.00000218474329840369,8.98997300262154
"Rbm14",-2.87812978069324,5.47042078011061,-13.5650941930195,0.0000000572883062896491,0.00000215094365128596,8.98042868171076
"Agrn",-5.19439593723499,3.63199197065492,-13.7472747780151,0.000000050174250334506,0.00000191840555682649,8.97522634530085
"Daam1",-3.00698083324217,5.82981197798798,-13.6107565370459,0.000000055407354753677,0.00000208407663963379,8.97505234541318
"Agpat4",-5.95848863110279,3.22160920980724,-14.0539304654798,0.0000000402801808881298,0.00000159877792256543,8.96847522997253
"Tmem65",-3.92490520575961,4.4980898224185,-13.5061242692229,0.000000059821205899829,0.00000222997189363262,8.94783868834222
"Sema4b",-4.10048277936689,4.31420191598453,-13.4947076287113,0.0000000603255521973307,0.00000224075553776823,8.93282878729788
