"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccser1",171.04654385389,3.48119365146248,0.808933783150539,4.30343462465413,0.0000168170487157499,0.000374694842911954
"Ankrd22",99.556452306431,3.50155881855812,1.19361991546698,2.93356266361241,0.00335096003656475,0.0294315791825885
"Serpina3f",77.0115028830018,3.51062766517959,1.15590456856075,3.03712586719055,0.00238845699437431,0.022882733266548
"Cd86",217.71172592205,3.52401292758147,0.496825674885979,7.09305719433729,0.00000000000131181208747999,0.000000000154340826465091
"Cdkn1c",59.9814795201723,3.57794260510821,0.79686688617842,4.49001290826271,0.00000712188575547501,0.000171786607146074
"Crybg1",271.503322389101,3.58653340159303,0.447177234694167,8.02038458877705,0.00000000000000105414590689944,0.000000000000223889638460174
"Pla2g7",182.471106304033,3.5971342903359,0.976404980014497,3.68405975385592,0.000229548392133689,0.00340656479578435
"Maf",275.234198010405,3.60247912675091,0.53238413211026,6.7666913971899,0.000000000013176070046001,0.0000000012527991251878
"Kazn",39.6815763766522,3.61462972707237,1.0092642362694,3.58145032507377,0.00034169211167886,0.00474769141410033
"Nbea",173.909185243178,3.62228338643795,0.523262784122237,6.92249381448799,0.00000000000443761178607725,0.000000000477451994404654
"Gm16534",35.5621389751144,3.63653184541083,1.25642362345232,2.89435169598181,0.00379942341010612,0.0326343332189472
"Trim30b",366.758350727292,3.66082227554717,0.500872978222481,7.30888355873948,0.000000000000269371064561013,0.0000000000364073916514943
"Serpinb8",23.1246381344212,3.69918574133992,1.29897091404778,2.84778181045849,0.00440250966358829,0.0365475345372197
"Gm16070",71.508053094199,3.73010083283901,0.836929503789748,4.45688772584612,0.00000831581274314276,0.000196811579741471
"Apol7e",101.344761123487,3.75274209593215,0.596050650521653,6.29601207992611,0.000000000305400582926849,0.0000000223969557541959
"Tert",29.2944982964352,3.76455822832232,1.19328787533172,3.15477790912425,0.001606203230044,0.0167311131363946
"Gm5111",152.499944456238,3.77135967095261,0.577861178312816,6.52641120824878,0.0000000000673642200473856,0.00000000556401239724719
"AA467197",99.6105907098093,3.77726555191683,0.680139568951969,5.55366240158213,0.0000000279745518908191,0.00000130716719169006
"Thnsl2",22.5889904213205,3.77886183687104,1.34279236378173,2.81418180412388,0.0048901563321307,0.0396105084971102
"Slc26a11",92.2767347224307,3.77926919313326,1.26205921406636,2.99452604997544,0.0027487158305741,0.0254400105790655
"Zfyve9",130.923149704276,3.78504709551839,1.2187319492003,3.105725666749,0.00189812723867115,0.0190892697522765
"Gm43302",258.055442344717,3.80246949540092,0.381559126718477,9.96561012208854,0.0000000000000000000000215546316885451,0.0000000000000000000146876852764361
"C030037D09Rik",66.2406324876352,3.82379323544963,0.797297685600295,4.79594172228237,0.00000161912351861004,0.0000478827233695273
"Pilrb2",228.392079689735,3.82868333081674,0.87159432951557,4.39273547470726,0.0000111933288902677,0.000257100703190221
"Gimap8",732.403156303484,3.83997946430673,1.06738812863446,3.59754747246376,0.000321231878918435,0.00453663743336104
"Il18r1",304.975928943234,3.8430959923396,0.522482040298176,7.35546046739976,0.000000000000190270063247841,0.0000000000265955266184204
"Cxadr",79.8887685555641,3.84750467446105,0.902024160131171,4.26541199728126,0.0000199533652395196,0.000436253121827679
"Tektip1",345.014976690665,3.85591530492622,0.740750706226049,5.20541563108485,0.0000001935628758122,0.00000741341281272301
"Prr5l",37.0590489057578,3.85789030185751,0.963147548773296,4.00550290219922,0.0000618856739539997,0.00115931078103518
"F11r",118.938065603031,3.86439148321566,1.08494234478597,3.56184040726884,0.000368264228564307,0.00501047686683917
"Ctsw",52.6706076849256,3.88953314688128,1.03105098559423,3.77239651697691,0.000161687033237703,0.00256223812167576
"Mamdc2",167.709333417484,3.9015638537899,0.740559181156448,5.26840251672698,0.000000137616090208235,0.00000544933060354837
